date,text,location,month,formatted_text,polarity,Subjectivity,Sentiment,Emotion
12-08-2021,"I keep hearing a lot about “shaming” when it comes to masks &amp; vaccines. If you feel shame, then it's because you know you're doing something wrong. You’re ashamed because of you, not because scientific data supports mask use &amp; vaccines. #CovidVaccine #WearAMask #publichealth https://t.co/majjN4rDi0","Mississippi, USA",12,keep hearing shaming comes masks vaccines feel shame know youre something wrong youre ashamed scientific data supports mask vaccines covidvaccine wearamask publichealth,-0.5,0.9,Negative,negative
12-08-2021,"You all need to keep in mind that this mess was avoidable. We have all the tools necessary to prevent this from happening, and people refuse to use them.  #COVID19 #publichealth #CovidVaccine #WearAMask #WashYourHands https://t.co/akywLRO92R","Mississippi, USA",12,need keep mind mess avoidable tools necessary prevent happening people refuse covid19 publichealth covidvaccine wearamask washyourhands,-0.0875,0.5875,Negative,negative
12-08-2021,"#NowPlaying You Right [Explicit] by Doja Cat &amp; The Weeknd on Amazon Music
#DONDA
#AToZBest00sSong
#COVID19TX
#CovidVaccine
#ImFullyVax 💉
#GetVaxMemphis 🤒 🤒 🤒 🤒
#DeltaPlusVariant ☠️ ☠️ ☠️ ☠️
#DefendMemphis
#FC901 
https://t.co/5Vnyfv42bt","Arkansas, USA",12,nowplaying right explicit doja weeknd amazon music donda atozbest00ssong covid19tx covidvaccine imfullyvax getvaxmemphis deltaplusvariant defendmemphis fc901,0.2857142857142857,0.5357142857142857,Positive,No emotion
11-08-2021,"My husband &amp; I got Moderna 
1) sore arm
2) sore arm/felt kinda crummy for a day. 
Our parents in their 60s had NO reaction whatsoever.
Teen just had Pfizer
1) sore arm
2) (later this month) 
#CovidVaccine https://t.co/3dGKrczTiY","North Carolina, USA",11,husband moderna sore sore armfelt kinda crummy parents reaction whatsoever teen pfizer sore later month covidvaccine,0.0,0.0,Neutral,anger
11-08-2021,Also need approval of #CovidVaccine for kids &lt; 12 https://t.co/YExndKfDn8,"New York, USA",11,also need approval covidvaccine kids,0.0,0.0,Neutral,positive
11-08-2021,It’s surreal they are getting away with spreading lies and misinformation about Covid and vaccines. #marjorietaylorgreene @RepMTG #randpaul @DrRandPaul #tuckercarlson @CarlsonTonight #lauraingraham @IngrahamAngle #antivax #BelAirViv #COVIDIOTS #covid #COVID19 #CovidVaccine https://t.co/NcagvN9hYf,"Maryland, USA",11,surreal getting away spreading lies misinformation covid vaccines marjorietaylorgreene randpaul tuckercarlson lauraingraham antivax belairviv covidiots covid covid19 covidvaccine,0.25,1.0,Positive,No emotion
11-08-2021,"Thankfully, #GOP “researchers” are busy keeping us all up to date on science. #BelAirViv #COVIDIOTS #covid #covid19 #CovidVaccine #Corona #coronavirus #MAGA #antivaxx #antivaxxers https://t.co/pykvDpG7Aq","Maryland, USA",11,thankfully researchers busy keeping date science belairviv covidiots covid covid19 covidvaccine corona coronavirus maga antivaxx antivaxxers,0.1,0.3,Positive,No emotion
11-08-2021,"Hoping @CDCgov #ACIP will recommend expansion of #CovidVaccine EUA to allow booster shots in immune compromised patients, a standard with approach we use post BMT for approved vaccines. Even better would be full @US_FDA approval of vaccines #covid19 #DeltaVariant https://t.co/WuDjH5aWqw","New York, USA",11,hoping acip recommend expansion covidvaccine allow booster shots immune compromised patients standard approach post approved vaccines even better would full approval vaccines covid19 deltavariant,0.2833333333333333,0.35,Positive,positive
11-08-2021,"Did you take the COVID-19 ""vaccine""? You may be entitled to compensation!

Commercials in 5 years

Maybe I should take it...

#Covid_19 #COVID19 #CovidVaccine #","Missouri, USA",11,take covid19 vaccine entitled compensation commercials years maybe take covid19 covid19 covidvaccine,0.0,0.0,Neutral,positive
11-08-2021,They are laughing at you #antivaxxers  #antimaskers #RepublicanVoters #COVID19 #CovidVaccine https://t.co/dCCwuIhZY5,"Indiana, USA",11,laughing antivaxxers antimaskers republicanvoters covid19 covidvaccine,0.0,0.0,Neutral,positive
